total_sulfur_dioxide,chlorides,volatile_acidity,alcohol,style
34.0,0.076,0.7,9.4,0
67.0,0.098,0.88,9.8,0
54.0,0.092,0.76,9.8,0
60.0,0.075,0.28,9.8,0
34.0,0.076,0.7,9.4,0
40.0,0.075,0.66,9.4,0
59.0,0.069,0.6,9.4,0
21.0,0.065,0.65,10.0,0
18.0,0.073,0.58,9.5,0
102.0,0.071,0.5,10.5,0
65.0,0.09699999999999999,0.58,9.2,0
102.0,0.071,0.5,10.5,0
59.0,0.08900000000000001,0.615,9.9,0
29.0,0.114,0.61,9.1,0
145.0,0.17600000000000002,0.62,9.2,0
148.0,0.17,0.62,9.2,0
103.0,0.092,0.28,10.5,0
56.0,0.368,0.56,9.3,0
29.0,0.086,0.59,9.0,0
56.0,0.341,0.32,9.2,0
60.0,0.077,0.22,9.4,0
71.0,0.08199999999999999,0.39,9.7,0
37.0,0.106,0.43,9.5,0
67.0,0.084,0.49,9.4,0
40.0,0.085,0.4,9.7,0
23.0,0.08,0.39,9.3,0
11.0,0.08,0.41,9.5,0
37.0,0.106,0.43,9.5,0
35.0,0.08,0.71,9.4,0
16.0,0.08199999999999999,0.645,9.8,0
82.0,0.08900000000000001,0.675,10.1,0
37.0,0.105,0.685,10.6,0
113.0,0.083,0.655,9.8,0
83.0,0.073,0.605,9.4,0
50.0,0.10300000000000001,0.32,9.2,0
18.0,0.086,0.645,9.6,0
15.0,0.086,0.6,10.8,0
30.0,0.066,0.38,9.7,0
19.0,0.172,1.13,9.8,0
87.0,0.07400000000000001,0.45,10.5,0
87.0,0.07400000000000001,0.45,10.5,0
46.0,0.08800000000000001,0.61,9.3,0
14.0,0.332,0.49,10.5,0
23.0,0.069,0.66,10.3,0
11.0,0.05,0.67,9.5,0
65.0,0.054000000000000006,0.52,13.1,0
114.0,0.114,0.935,9.2,0
37.0,0.113,0.29,9.5,0
12.0,0.066,0.4,9.2,0
96.0,0.07400000000000001,0.31,9.2,0
23.0,0.07400000000000001,0.66,9.2,0
15.0,0.069,0.52,9.4,0
14.0,0.068,0.5,9.4,0
119.0,0.081,0.38,9.4,0
73.0,0.11,0.51,10.2,0
45.0,0.084,0.62,9.5,0
10.0,0.07,0.42,9.6,0
110.0,0.111,0.63,9.4,0
54.0,0.076,0.59,10.0,0
46.0,0.07400000000000001,0.39,9.4,0
52.0,0.079,0.4,9.2,0
112.0,0.115,0.69,9.3,0
35.0,0.085,0.52,9.5,0
54.0,0.081,0.735,9.8,0
11.0,0.086,0.725,10.9,0
11.0,0.086,0.725,10.9,0
39.0,0.079,0.52,9.6,0
15.0,0.076,0.705,10.7,0
65.0,0.07400000000000001,0.32,10.7,0
19.0,0.07400000000000001,0.705,10.5,0
27.0,0.076,0.63,9.5,0
96.0,0.08800000000000001,0.67,9.5,0
94.0,0.084,0.69,9.5,0
43.0,0.084,0.675,9.2,0
83.0,0.094,0.32,9.6,0
42.0,0.09300000000000001,0.41,10.5,0
42.0,0.09300000000000001,0.41,10.5,0
30.0,0.10400000000000001,0.785,10.7,0
80.0,0.086,0.75,10.1,0
119.0,0.08,0.625,9.1,0
15.0,0.069,0.45,9.2,0
67.0,0.46399999999999997,0.43,9.4,0
73.0,0.086,0.5,9.1,0
51.0,0.401,0.67,9.4,0
61.0,0.069,0.3,10.3,0
40.0,0.076,0.55,10.1,0
136.0,0.11,0.49,9.9,0
31.0,0.062,0.49,9.6,0
125.0,0.107,0.39,9.5,0
24.0,0.076,0.62,9.0,0
140.0,0.079,0.52,9.5,0
136.0,0.11,0.49,9.9,0
133.0,0.11,0.49,9.8,0
31.0,0.062,0.49,9.6,0
85.0,0.045,1.02,10.5,0
106.0,0.057999999999999996,0.6,12.9,0
